UNITID,E2011
129640,53
129640,53
129686,93
129686,89
129686,4
129695,10524
129695,10524
129729,9837
129729,9837
129756,4424
129756,4424
129774,1093
129774,1093
129808,6832
129808,6832
129923,1406
129923,1406
129932,981
129932,981
129941,6981
129941,4751
129941,2230
129969,567
129969,567
130004,9288
130004,9288
130040,2506
130040,2506
130110,241
130110,241
130129,193
130129,193
130174,6018
130174,6018
130183,8128
130183,6978
130183,1150
130217,3191
130217,3191
130226,9116
130226,6413
130226,2703
130253,7662
130253,4862
130253,2800
130314,2879
130314,1179
130314,1700
130396,10706
130396,10706
130448,699
130448,699
130493,14217
130493,9983
130493,4234
130509,636
130509,636
130581,169
130581,169
130590,2602
130590,2453
130590,149
130606,6619
130606,6619
130624,1017
130624,1017
130697,3514
130697,3055
130697,459
130776,7872
130776,7000
130776,872
130785,12
130785,12
130794,12893
130794,6446
130794,6447
130837,58
130837,58
130873,1501
130873,1501
130891,6427
130891,6427
130907,4820
130907,4820
130916,10406
130916,10406
130934,4099
130934,3619
130934,480
130943,23239
130943,19071
130943,4168
130989,1565
130989,848
130989,717
131061,233
131061,233
131098,2337
131098,2133
131098,204
131113,14769
131113,8821
131113,5948
131159,13618
131159,7595
131159,6023
131283,7536
131283,3751
131283,3785
131308,1037
131308,762
131308,275
131399,12440
131399,11995
131399,445
131405,92
131405,92
131450,1727
131450,1222
131450,505
131469,29887
131469,11503
131469,18384
131496,20320
131496,9695
131496,10625
131520,11115
131520,7496
131520,3619
131742,2633
131742,2633
131803,3492
131803,2579
131803,913
131830,46
131830,46
131876,2771
131876,1860
131876,911
131973,763
131973,763
132268,1574
132268,1574
132338,3990
132338,3990
132374,3318
132374,3318
132408,768
132408,740
132408,28
132471,11200
132471,5930
132471,5270
132523,53
132523,53
132602,3822
132602,3785
132602,37
132657,2589
132657,1937
132657,652
132666,190
132666,190
132675,296
132675,296
132693,25283
132693,25283
132709,60085
132709,60085
132806,798
132806,798
132842,1373
132842,457
132842,916
132851,12325
132851,12325
132879,376
132879,376
132903,66273
132903,55378
132903,10895
132976,491
132976,491
133021,2963
133021,2963
133085,628
133085,611
133085,17
133155,1035
133155,1035
133386,25231
133386,25231
133465,1744
133465,1632
133465,112
133492,2800
133492,2800
133508,24097
133508,24097
133526,903
133526,903
133553,5639
133553,4956
133553,683
133650,14702
133650,12461
133650,2241
133669,36164
133669,29230
133669,6934
133702,49670
133702,49670
133711,2962
133711,2962
133809,497
133809,497
133845,655
133845,655
133854,634
133854,634
133863,607
133863,607
133872,3527
133872,3459
133872,68
133881,14649
133881,9641
133881,5008
133942,87
133942,87
133951,56288
133951,44972
133951,11316
133960,2183
133960,2183
133979,2273
133979,2201
133979,72
133997,9445
133997,9445
134024,270
134024,270
134079,3398
134079,3192
134079,206
134097,45876
134097,35191
134097,10685
134112,3616
134112,3616
134121,331
134121,331
134130,58082
134130,36637
134130,21445
134149,2820
134149,2269
134149,551
134228,42
134228,42
134237,23871
134237,20529
134237,3342
134291,1218
134291,1218
134307,1471
134307,1471
134343,10716
134343,10716
134422,157
134422,157
134495,40213
134495,40213
134510,120
134510,120
134529,374
134529,374
134574,351
134574,351
134608,26197
134608,26197
134680,1956
134680,1949
134680,7
134714,440
134714,440
134811,5659
134811,5535
134811,124
134875,2217
134875,2217
134909,1456
134909,1456
134945,5627
134945,4941
134945,686
135063,1022
135063,1022
135081,30432
135081,29495
135081,937
135124,1444
135124,1444
135142,645
135142,645
135160,4575
135160,4575
135179,1148
135179,1148
135188,6736
135188,6736
135267,1354
135267,1354
135276,1838
135276,1838
135294,1654
135294,1654
135337,349
135337,349
135364,1628
135364,559
135364,1069
135391,17404
135391,17404
135407,1807
135407,1807
135416,1058
135416,1058
135434,1050
135434,1050
135522,835
135522,835
135610,427
135610,278
135610,149
135647,2161
135647,2161
135717,99232
135717,99232
135726,17797
135726,11674
135726,6123
135735,2483
135735,2483
135771,1310
135771,1310
135939,406
135939,406
135957,1669
135957,1669
136011,1514
136011,1514
136048,218
136048,218
136066,4194
136066,4194
136075,615
136075,615
136109,306
136109,306
136145,1924
136145,1924
136172,18950
136172,16539
136172,2411
136206,782
136206,741
136206,41
136215,39245
136215,7777
136215,31468
136233,11803
136233,11803
136251,113
136251,113
136288,2191
136288,2104
136288,87
136303,1103
136303,1103
136330,4040
136330,3111
136330,929
136358,43530
136358,43530
136400,15065
136400,15065
136473,17485
136473,17485
136491,1948
136491,1948
136516,15150
136516,15150
136659,390
136659,390
136701,95
136701,95
136738,1997
136738,1997
136747,2210
136747,2210
136765,940
136765,940
136774,1383
136774,1383
136783,79
136783,79
136826,1587
136826,1587
136950,3634
136950,2794
136950,840
137023,1155
137023,1155
137032,26033
137032,21608
137032,4425
137078,43534
137078,43534
137087,1930
137087,1930
137096,21793
137096,21793
137120,1321
137120,1321
137148,2498
137148,213
137148,2285
137209,26884
137209,26884
137245,3337
137245,3337
137272,69
137272,51
137272,18
137281,9676
137281,9676
137315,4351
137315,4351
137351,47862
137351,35840
137351,12022
137476,5000
137476,3189
137476,1811
137537,329
137537,329
137546,4086
137546,2237
137546,1849
137564,3144
137564,2796
137564,348
137591,475
137591,475
137713,237
137713,237
137759,21176
137759,21176
137777,57
137777,43
137777,14
137801,2600
137801,2544
137801,56
137810,1342
137810,1305
137810,37
137847,7412
137847,6408
137847,1004
137856,380
137856,380
137865,901
137865,901
